Date,Open,High,Low,Close,Volume,Asset_name
2021-10-05 04:00:00,2.951,4.19,2.951,3.786,6473465.2,AGLDUSDT
2021-10-05 08:00:00,3.789,4.0,3.577,3.651,3868396.2,AGLDUSDT
2021-10-05 12:00:00,3.653,3.974,3.45,3.604,5552440.0,AGLDUSDT
2021-10-05 16:00:00,3.603,5.437,3.603,4.592,18706019.5,AGLDUSDT
2021-10-05 20:00:00,4.597,5.278,4.457,4.73,7447084.0,AGLDUSDT
2021-10-06 00:00:00,4.732,4.817,4.35,4.514,3862011.1,AGLDUSDT
2021-10-06 04:00:00,4.516,4.755,4.368,4.393,3601234.9,AGLDUSDT
2021-10-06 08:00:00,4.394,4.47,4.005,4.127,4514711.1,AGLDUSDT
2021-10-06 12:00:00,4.128,4.867,4.111,4.666,4687254.9,AGLDUSDT
2021-10-06 16:00:00,4.67,5.19,4.35,4.368,4780187.3,AGLDUSDT
2021-10-06 20:00:00,4.37,4.527,4.25,4.37,967638.7,AGLDUSDT
2021-10-07 00:00:00,4.372,4.372,3.885,4.06,2723516.0,AGLDUSDT
2021-10-07 04:00:00,4.06,4.399,3.951,4.225,1939617.2,AGLDUSDT
2021-10-07 08:00:00,4.22,4.378,4.017,4.137,1767568.6,AGLDUSDT
2021-10-07 12:00:00,4.136,4.212,4.002,4.066,1400490.4,AGLDUSDT
2021-10-07 16:00:00,4.067,4.07,3.691,3.725,1778830.4,AGLDUSDT
2021-10-07 20:00:00,3.724,3.85,3.69,3.809,1001707.6,AGLDUSDT
2021-10-08 00:00:00,3.814,4.075,3.74,3.864,1842925.2,AGLDUSDT
2021-10-08 04:00:00,3.864,3.978,3.807,3.882,820156.7,AGLDUSDT
2021-10-08 08:00:00,3.874,4.0,3.7,3.704,1245939.0,AGLDUSDT
2021-10-08 12:00:00,3.706,3.9,3.7,3.798,1425396.6,AGLDUSDT
2021-10-08 16:00:00,3.797,3.85,3.73,3.759,484775.0,AGLDUSDT
2021-10-08 20:00:00,3.759,3.759,3.534,3.672,863914.2,AGLDUSDT
2021-10-09 00:00:00,3.674,4.08,3.598,3.916,2734359.0,AGLDUSDT
2021-10-09 04:00:00,3.916,4.144,3.882,3.942,1757405.1,AGLDUSDT
2021-10-09 08:00:00,3.937,4.01,3.82,3.85,851780.5,AGLDUSDT
2021-10-09 12:00:00,3.849,3.942,3.781,3.806,637879.9,AGLDUSDT
2021-10-09 16:00:00,3.806,3.806,3.61,3.652,1079187.2,AGLDUSDT
2021-10-09 20:00:00,3.659,3.749,3.623,3.707,233319.4,AGLDUSDT
2021-10-10 00:00:00,3.711,3.783,3.597,3.751,798197.9,AGLDUSDT
2021-10-10 04:00:00,3.746,3.864,3.672,3.76,546431.3,AGLDUSDT
2021-10-10 08:00:00,3.76,3.78,3.518,3.61,1160005.7,AGLDUSDT
2021-10-10 12:00:00,3.61,3.67,3.541,3.662,633866.8,AGLDUSDT
2021-10-10 16:00:00,3.66,3.664,3.525,3.618,476959.5,AGLDUSDT
2021-10-10 20:00:00,3.618,3.625,3.404,3.451,446900.6,AGLDUSDT
2021-10-11 00:00:00,3.45,3.6,3.382,3.56,547671.6,AGLDUSDT
2021-10-11 04:00:00,3.558,3.699,3.465,3.624,980163.0,AGLDUSDT
2021-10-11 08:00:00,3.624,4.23,3.62,3.843,3665408.7,AGLDUSDT
2021-10-11 12:00:00,3.851,3.95,3.741,3.909,1449407.0,AGLDUSDT
2021-10-11 16:00:00,3.905,3.911,3.71,3.713,617258.0,AGLDUSDT
2021-10-11 20:00:00,3.71,3.817,3.65,3.793,458158.2,AGLDUSDT
2021-10-12 00:00:00,3.792,3.824,3.5,3.595,1580817.2,AGLDUSDT
2021-10-12 04:00:00,3.604,3.659,3.503,3.545,483177.6,AGLDUSDT
2021-10-12 08:00:00,3.549,3.636,3.41,3.497,631466.0,AGLDUSDT
2021-10-12 12:00:00,3.498,3.578,3.4,3.539,729649.3,AGLDUSDT
2021-10-12 16:00:00,3.542,3.578,3.44,3.551,441177.7,AGLDUSDT
2021-10-12 20:00:00,3.555,3.576,3.443,3.545,219823.3,AGLDUSDT
2021-10-13 00:00:00,3.541,3.699,3.541,3.587,479275.7,AGLDUSDT
2021-10-13 04:00:00,3.587,3.691,3.265,3.323,1345542.3,AGLDUSDT
2021-10-13 08:00:00,3.328,3.517,3.27,3.417,813098.1,AGLDUSDT
2021-10-13 12:00:00,3.421,3.593,3.309,3.435,933172.4,AGLDUSDT
2021-10-13 16:00:00,3.443,3.543,3.416,3.477,579318.0,AGLDUSDT
2021-10-13 20:00:00,3.477,3.496,3.408,3.477,378626.9,AGLDUSDT
2021-10-14 00:00:00,3.472,3.62,3.452,3.514,767520.3,AGLDUSDT
2021-10-14 04:00:00,3.514,3.778,3.506,3.735,1270729.8,AGLDUSDT
2021-10-14 08:00:00,3.733,3.989,3.669,3.676,2062639.0,AGLDUSDT
2021-10-14 12:00:00,3.68,3.801,3.659,3.712,569093.5,AGLDUSDT
2021-10-14 16:00:00,3.714,3.733,3.6,3.65,473931.3,AGLDUSDT
2021-10-14 20:00:00,3.65,3.701,3.627,3.661,129103.8,AGLDUSDT
2021-10-15 00:00:00,3.661,3.667,3.542,3.626,592903.5,AGLDUSDT
2021-10-15 04:00:00,3.63,3.85,3.63,3.69,711747.1,AGLDUSDT
2021-10-15 08:00:00,3.69,3.701,3.511,3.546,904017.7,AGLDUSDT
2021-10-15 12:00:00,3.546,3.625,3.53,3.573,412821.7,AGLDUSDT
2021-10-15 16:00:00,3.57,3.681,3.478,3.502,626159.7,AGLDUSDT
2021-10-15 20:00:00,3.504,3.651,3.475,3.578,300435.3,AGLDUSDT
2021-10-16 00:00:00,3.578,3.585,3.488,3.521,241622.4,AGLDUSDT
2021-10-16 04:00:00,3.521,3.566,3.494,3.553,256797.3,AGLDUSDT
2021-10-16 08:00:00,3.553,3.654,3.544,3.637,424100.5,AGLDUSDT
2021-10-16 12:00:00,3.629,3.705,3.52,3.608,788302.5,AGLDUSDT
2021-10-16 16:00:00,3.613,3.81,3.584,3.632,853990.4,AGLDUSDT
2021-10-16 20:00:00,3.632,3.719,3.595,3.711,257179.6,AGLDUSDT
2021-10-17 00:00:00,3.716,3.9,3.639,3.754,1398527.9,AGLDUSDT
2021-10-17 04:00:00,3.757,4.139,3.757,3.953,2338812.2,AGLDUSDT
2021-10-17 08:00:00,3.951,3.984,3.762,3.774,882160.5,AGLDUSDT
2021-10-17 12:00:00,3.777,3.937,3.75,3.832,545775.8,AGLDUSDT
2021-10-17 16:00:00,3.836,3.836,3.721,3.758,460428.0,AGLDUSDT
2021-10-17 20:00:00,3.757,3.85,3.666,3.847,409358.3,AGLDUSDT
2021-10-18 00:00:00,3.843,4.06,3.8,3.883,838767.6,AGLDUSDT
2021-10-18 04:00:00,3.883,3.905,3.777,3.777,432801.3,AGLDUSDT
2021-10-18 08:00:00,3.777,3.806,3.683,3.718,535157.3,AGLDUSDT
2021-10-18 12:00:00,3.713,3.718,3.599,3.654,462017.7,AGLDUSDT
2021-10-18 16:00:00,3.655,3.658,3.584,3.617,193244.2,AGLDUSDT
2021-10-18 20:00:00,3.617,3.697,3.606,3.641,170130.5,AGLDUSDT
2021-10-19 00:00:00,3.642,3.68,3.552,3.672,238519.9,AGLDUSDT
2021-10-19 04:00:00,3.675,3.686,3.58,3.613,158502.6,AGLDUSDT
2021-10-19 08:00:00,3.613,3.653,3.582,3.616,156494.3,AGLDUSDT
2021-10-19 12:00:00,3.613,3.64,3.55,3.595,270653.7,AGLDUSDT
2021-10-19 16:00:00,3.592,3.71,3.57,3.639,445330.9,AGLDUSDT
