Date,Open,High,Low,Close,Volume,Asset_name
2021-10-29 08:00:00,34.61,42.9,34.61,38.99,162552.43,AUCTIONUSDT
2021-10-29 12:00:00,38.97,41.04,37.59,38.9,76280.88,AUCTIONUSDT
2021-10-29 16:00:00,38.87,39.43,37.83,38.89,24892.76,AUCTIONUSDT
2021-10-29 20:00:00,38.9,40.29,37.96,38.24,17245.95,AUCTIONUSDT
2021-10-30 00:00:00,38.26,38.42,36.25,36.98,20452.22,AUCTIONUSDT
2021-10-30 04:00:00,37.03,39.9,37.03,39.03,20186.12,AUCTIONUSDT
2021-10-30 08:00:00,39.0,39.38,37.17,37.25,13961.89,AUCTIONUSDT
2021-10-30 12:00:00,37.25,37.4,36.01,37.01,34078.18,AUCTIONUSDT
2021-10-30 16:00:00,37.06,38.24,36.27,38.24,21671.91,AUCTIONUSDT
2021-10-30 20:00:00,38.24,39.57,36.2,36.69,19730.02,AUCTIONUSDT
2021-10-31 00:00:00,36.59,37.1,34.84,36.17,20190.69,AUCTIONUSDT
2021-10-31 04:00:00,36.18,36.57,35.41,36.47,7369.62,AUCTIONUSDT
2021-10-31 08:00:00,36.47,36.47,34.98,35.04,10319.53,AUCTIONUSDT
2021-10-31 12:00:00,35.06,36.2,34.7,35.54,10685.52,AUCTIONUSDT
2021-10-31 16:00:00,35.51,36.09,35.06,35.16,10172.8,AUCTIONUSDT
2021-10-31 20:00:00,35.19,36.52,35.06,36.2,6680.64,AUCTIONUSDT
2021-11-01 00:00:00,36.2,36.4,35.21,35.21,15231.63,AUCTIONUSDT
2021-11-01 04:00:00,35.21,37.24,35.1,37.18,11517.25,AUCTIONUSDT
2021-11-01 08:00:00,37.24,37.39,36.0,36.89,9608.54,AUCTIONUSDT
2021-11-01 12:00:00,36.75,36.96,35.73,36.01,9410.01,AUCTIONUSDT
2021-11-01 16:00:00,36.08,36.12,35.6,36.05,4875.83,AUCTIONUSDT
2021-11-01 20:00:00,36.03,36.44,35.6,36.0,4871.49,AUCTIONUSDT
2021-11-02 00:00:00,36.1,38.93,35.56,37.57,19972.94,AUCTIONUSDT
2021-11-02 04:00:00,37.41,37.56,36.7,37.22,10426.85,AUCTIONUSDT
2021-11-02 08:00:00,37.18,39.2,36.95,38.86,13653.07,AUCTIONUSDT
2021-11-02 12:00:00,38.86,40.18,38.16,38.58,29166.73,AUCTIONUSDT
2021-11-02 16:00:00,38.62,39.23,37.55,38.5,14981.88,AUCTIONUSDT
2021-11-02 20:00:00,38.41,38.42,36.84,37.64,18563.46,AUCTIONUSDT
2021-11-03 00:00:00,37.64,43.79,36.69,38.61,93921.28,AUCTIONUSDT
