Date,Open,High,Low,Close,Volume,Asset_name
2021-12-09 04:00:00,5.631,7.999,5.631,6.513,2584685.44,BICOUSDT
2021-12-09 08:00:00,6.507,6.68,5.7,6.119,1519702.99,BICOUSDT
2021-12-09 12:00:00,6.127,6.55,5.841,5.955,1292119.97,BICOUSDT
2021-12-09 16:00:00,5.955,6.3,5.911,6.168,708664.54,BICOUSDT
2021-12-09 20:00:00,6.161,6.48,6.0,6.066,481868.16,BICOUSDT
2021-12-10 00:00:00,6.068,6.674,6.068,6.12,853568.19,BICOUSDT
2021-12-10 04:00:00,6.12,6.44,5.701,5.733,784646.47,BICOUSDT
2021-12-10 08:00:00,5.738,5.999,5.672,5.762,467084.48,BICOUSDT
2021-12-10 12:00:00,5.771,5.933,5.573,5.603,366184.82,BICOUSDT
2021-12-10 16:00:00,5.603,5.827,5.395,5.553,475557.33,BICOUSDT
2021-12-10 20:00:00,5.551,5.596,5.1,5.12,255496.86,BICOUSDT
2021-12-11 00:00:00,5.119,5.425,5.1,5.303,302114.38,BICOUSDT
2021-12-11 04:00:00,5.303,5.771,5.211,5.454,363283.33,BICOUSDT
2021-12-11 08:00:00,5.452,5.971,5.362,5.541,962781.85,BICOUSDT
2021-12-11 12:00:00,5.541,5.85,5.51,5.798,293490.61,BICOUSDT
2021-12-11 16:00:00,5.797,5.807,5.389,5.593,202979.73,BICOUSDT
2021-12-11 20:00:00,5.587,5.657,5.445,5.559,84523.24,BICOUSDT
2021-12-12 00:00:00,5.56,5.602,5.4,5.476,99948.63,BICOUSDT
2021-12-12 04:00:00,5.486,5.498,5.329,5.367,93524.57,BICOUSDT
2021-12-12 08:00:00,5.355,5.362,5.199,5.224,142181.4,BICOUSDT
2021-12-12 12:00:00,5.224,5.48,5.224,5.31,216831.34,BICOUSDT
2021-12-12 16:00:00,5.31,5.31,5.112,5.245,174089.45,BICOUSDT
2021-12-12 20:00:00,5.243,5.42,5.2,5.273,86661.18,BICOUSDT
2021-12-13 00:00:00,5.275,5.283,4.91,4.91,231482.71,BICOUSDT
2021-12-13 04:00:00,4.916,5.068,4.8,4.809,240720.65,BICOUSDT
2021-12-13 08:00:00,4.809,4.931,4.644,4.798,225594.59,BICOUSDT
2021-12-13 12:00:00,4.782,4.899,4.316,4.407,409408.87,BICOUSDT
2021-12-13 16:00:00,4.417,4.607,4.25,4.378,229649.65,BICOUSDT
2021-12-13 20:00:00,4.37,4.482,4.251,4.4,188284.84,BICOUSDT
2021-12-14 00:00:00,4.398,4.614,4.263,4.448,167947.42,BICOUSDT
2021-12-14 04:00:00,4.443,4.517,4.23,4.334,321569.85,BICOUSDT
2021-12-14 08:00:00,4.34,4.445,4.005,4.01,273001.15,BICOUSDT
2021-12-14 12:00:00,4.015,4.134,3.78,3.897,627633.66,BICOUSDT
2021-12-14 16:00:00,3.896,4.145,3.879,3.941,388856.48,BICOUSDT
2021-12-14 20:00:00,3.941,4.221,3.935,4.149,298585.95,BICOUSDT
2021-12-15 00:00:00,4.149,4.266,3.985,4.104,302088.04,BICOUSDT
2021-12-15 04:00:00,4.104,4.136,3.893,3.972,371620.56,BICOUSDT
2021-12-15 08:00:00,3.975,4.25,3.9,4.008,648919.95,BICOUSDT
2021-12-15 12:00:00,4.003,4.196,3.737,3.742,668715.57,BICOUSDT
2021-12-15 16:00:00,3.742,4.008,3.739,3.997,500925.21,BICOUSDT
2021-12-15 20:00:00,4.002,4.25,3.927,4.106,679285.36,BICOUSDT
2021-12-16 00:00:00,4.105,4.2,3.971,3.971,324859.21,BICOUSDT
2021-12-16 04:00:00,3.976,4.156,3.915,4.097,262633.51,BICOUSDT
2021-12-16 08:00:00,4.097,4.14,3.965,4.005,361432.93,BICOUSDT
2021-12-16 12:00:00,4.006,4.173,3.799,4.102,541495.05,BICOUSDT
2021-12-16 16:00:00,4.1,4.101,3.926,3.953,435812.86,BICOUSDT
2021-12-16 20:00:00,3.948,3.959,3.875,3.92,90274.19,BICOUSDT
2021-12-17 00:00:00,3.921,3.945,3.81,3.825,144044.09,BICOUSDT
2021-12-17 04:00:00,3.827,3.852,3.649,3.736,187492.26,BICOUSDT
2021-12-17 08:00:00,3.732,3.758,3.651,3.651,232280.52,BICOUSDT
2021-12-17 12:00:00,3.653,3.707,3.556,3.61,253767.47,BICOUSDT
2021-12-17 16:00:00,3.61,3.908,3.556,3.705,667544.21,BICOUSDT
2021-12-17 20:00:00,3.705,3.705,3.584,3.591,147309.65,BICOUSDT
2021-12-18 00:00:00,3.592,3.698,3.53,3.577,316009.82,BICOUSDT
2021-12-18 04:00:00,3.577,3.602,3.538,3.563,145670.86,BICOUSDT
2021-12-18 08:00:00,3.563,3.58,3.517,3.571,180875.67,BICOUSDT
