Date,Open,High,Low,Close,Volume,Asset_name
2021-07-05 04:00:00,37.48,42.0,33.89,36.0,159649.94,BONDUSDT
2021-07-05 08:00:00,36.05,37.6,34.05,34.2,57111.56,BONDUSDT
2021-07-05 12:00:00,34.18,35.98,33.52,34.26,28467.72,BONDUSDT
2021-07-05 16:00:00,34.25,35.5,33.37,34.02,14919.04,BONDUSDT
2021-07-05 20:00:00,33.96,34.75,33.56,34.28,9295.49,BONDUSDT
2021-07-06 00:00:00,34.2,35.33,34.04,34.69,12734.74,BONDUSDT
2021-07-06 04:00:00,34.69,37.4,34.47,35.45,31755.64,BONDUSDT
2021-07-06 08:00:00,35.42,36.0,34.33,35.16,16468.59,BONDUSDT
2021-07-06 12:00:00,35.16,35.99,34.5,34.63,17019.58,BONDUSDT
2021-07-06 16:00:00,34.7,34.91,34.02,34.35,7829.56,BONDUSDT
2021-07-06 20:00:00,34.28,34.8,33.32,33.79,7314.14,BONDUSDT
2021-07-07 00:00:00,33.79,34.31,33.57,34.18,4415.54,BONDUSDT
2021-07-07 04:00:00,33.99,34.65,33.34,33.65,9242.75,BONDUSDT
2021-07-07 08:00:00,33.67,33.91,33.33,33.63,5186.67,BONDUSDT
2021-07-07 12:00:00,33.62,34.88,33.5,33.81,15871.25,BONDUSDT
2021-07-07 16:00:00,33.82,34.27,33.51,34.04,5397.57,BONDUSDT
2021-07-07 20:00:00,34.12,34.24,33.35,33.54,5216.8,BONDUSDT
2021-07-08 00:00:00,33.54,33.57,32.0,32.0,9679.61,BONDUSDT
2021-07-08 04:00:00,32.0,32.32,30.7,30.73,13232.54,BONDUSDT
2021-07-08 08:00:00,30.75,31.18,30.3,30.89,12956.54,BONDUSDT
2021-07-08 12:00:00,30.8,31.97,30.23,30.61,6306.96,BONDUSDT
2021-07-08 16:00:00,30.57,31.19,30.01,30.94,9155.91,BONDUSDT
2021-07-08 20:00:00,30.97,32.85,30.25,30.35,8184.24,BONDUSDT
2021-07-09 00:00:00,30.33,32.31,29.8,30.59,5365.11,BONDUSDT
2021-07-09 04:00:00,30.61,31.5,30.08,30.4,2378.06,BONDUSDT
2021-07-09 08:00:00,30.39,31.5,29.65,29.65,3150.27,BONDUSDT
2021-07-09 12:00:00,29.65,31.94,29.48,30.8,12131.37,BONDUSDT
2021-07-09 16:00:00,30.81,31.56,29.96,30.5,7175.21,BONDUSDT
2021-07-09 20:00:00,30.46,31.5,30.23,30.71,3936.32,BONDUSDT
2021-07-10 00:00:00,30.67,31.35,30.47,30.9,4000.45,BONDUSDT
2021-07-10 04:00:00,30.87,31.01,30.3,30.35,1073.54,BONDUSDT
2021-07-10 08:00:00,30.33,30.63,30.25,30.42,1398.89,BONDUSDT
2021-07-10 12:00:00,30.37,30.61,30.13,30.38,1434.92,BONDUSDT
2021-07-10 16:00:00,30.39,31.05,30.06,30.34,9831.55,BONDUSDT
2021-07-10 20:00:00,30.36,30.43,30.0,30.03,1847.04,BONDUSDT
2021-07-11 00:00:00,30.17,30.49,29.72,30.1,3040.94,BONDUSDT
2021-07-11 04:00:00,30.1,30.38,29.82,30.1,1248.56,BONDUSDT
2021-07-11 08:00:00,30.1,30.25,29.83,29.91,3728.92,BONDUSDT
2021-07-11 12:00:00,29.91,30.16,29.6,29.86,11734.84,BONDUSDT
2021-07-11 16:00:00,29.86,30.2,29.63,29.75,4531.83,BONDUSDT
2021-07-11 20:00:00,29.71,30.88,29.68,30.06,4987.63,BONDUSDT
2021-07-12 00:00:00,30.01,30.08,29.7,29.86,1517.06,BONDUSDT
2021-07-12 04:00:00,29.86,32.4,29.42,29.69,14934.13,BONDUSDT
2021-07-12 08:00:00,29.65,29.8,29.39,29.47,5722.34,BONDUSDT
2021-07-12 12:00:00,29.47,29.92,28.71,29.0,7836.07,BONDUSDT
2021-07-12 16:00:00,29.05,29.45,27.86,27.94,9411.03,BONDUSDT
