Date,Open,High,Low,Close,Volume,Asset_name
2020-05-14 08:00:00,10.15,10.92,9.87,10.0,1400.26,BTCDOWNUSDT
2020-05-14 12:00:00,10.2,10.28,9.94,9.98,1884.08,BTCDOWNUSDT
2020-05-14 16:00:00,9.95,10.26,9.93,10.04,766.8,BTCDOWNUSDT
2020-05-14 20:00:00,10.09,10.24,9.41,9.79,3716.8,BTCDOWNUSDT
2020-05-15 00:00:00,9.85,10.8,9.8,10.38,1870.81,BTCDOWNUSDT
2020-05-15 04:00:00,10.5,10.54,10.0,10.11,1624.31,BTCDOWNUSDT
2020-05-15 08:00:00,10.17,10.28,10.0,10.28,327.45,BTCDOWNUSDT
2020-05-15 12:00:00,10.31,10.44,10.17,10.43,535.12,BTCDOWNUSDT
2020-05-15 16:00:00,10.45,10.79,10.24,10.7,1307.16,BTCDOWNUSDT
2020-05-15 20:00:00,10.7,11.11,10.45,10.65,7245.75,BTCDOWNUSDT
2020-05-16 00:00:00,10.65,10.99,10.43,10.51,789.37,BTCDOWNUSDT
2020-05-16 04:00:00,10.49,10.6,10.2,10.6,2940.88,BTCDOWNUSDT
2020-05-16 08:00:00,10.59,10.7,10.45,10.58,6867.51,BTCDOWNUSDT
2020-05-16 12:00:00,10.55,10.7,10.29,10.62,9776.01,BTCDOWNUSDT
2020-05-16 16:00:00,10.62,10.87,10.58,10.75,5453.59,BTCDOWNUSDT
2020-05-16 20:00:00,10.77,10.82,10.51,10.62,5519.97,BTCDOWNUSDT
2020-05-17 00:00:00,10.69,10.7,10.2,10.2,7199.36,BTCDOWNUSDT
2020-05-17 04:00:00,10.26,10.38,10.21,10.28,3023.38,BTCDOWNUSDT
2020-05-17 08:00:00,10.32,10.43,10.28,10.28,5914.16,BTCDOWNUSDT
2020-05-17 12:00:00,10.27,10.27,9.57,9.68,31672.14,BTCDOWNUSDT
2020-05-17 16:00:00,9.66,9.89,9.65,9.75,7937.5,BTCDOWNUSDT
2020-05-17 20:00:00,9.8,10.08,9.73,9.96,12334.18,BTCDOWNUSDT
2020-05-18 00:00:00,9.9,9.9,9.43,9.63,52392.84,BTCDOWNUSDT
2020-05-18 04:00:00,9.6,9.82,9.51,9.76,64360.08,BTCDOWNUSDT
2020-05-18 08:00:00,9.76,10.35,9.73,10.03,55434.12,BTCDOWNUSDT
2020-05-18 12:00:00,10.06,10.15,9.85,9.99,29510.78,BTCDOWNUSDT
2020-05-18 16:00:00,9.91,10.2,9.87,9.9,29022.74,BTCDOWNUSDT
2020-05-18 20:00:00,9.89,9.98,9.74,9.81,26505.29,BTCDOWNUSDT
2020-05-19 00:00:00,9.82,10.32,9.82,10.22,74009.72,BTCDOWNUSDT
2020-05-19 04:00:00,10.24,10.35,10.04,10.17,30295.14,BTCDOWNUSDT
2020-05-19 08:00:00,10.13,10.13,9.42,9.77,104559.25,BTCDOWNUSDT
2020-05-19 12:00:00,9.73,10.16,9.73,9.94,99600.71,BTCDOWNUSDT
2020-05-19 16:00:00,9.88,10.02,9.82,9.96,32636.28,BTCDOWNUSDT
2020-05-19 20:00:00,9.99,10.01,9.68,9.71,26621.5,BTCDOWNUSDT
2020-05-20 00:00:00,9.73,9.83,9.66,9.82,20833.66,BTCDOWNUSDT
2020-05-20 04:00:00,9.83,9.96,9.58,9.73,37565.46,BTCDOWNUSDT
2020-05-20 08:00:00,9.74,9.82,9.65,9.82,27427.65,BTCDOWNUSDT
2020-05-20 12:00:00,9.79,10.69,9.68,10.46,73366.58,BTCDOWNUSDT
2020-05-20 16:00:00,10.49,10.56,10.2,10.22,33125.33,BTCDOWNUSDT
2020-05-20 20:00:00,10.24,10.39,10.1,10.25,26010.03,BTCDOWNUSDT
2020-05-21 00:00:00,10.26,10.39,10.15,10.34,17689.06,BTCDOWNUSDT
